Language,Family Name,Notes,Blazon
English,HILTOFTE,HILTOFTE.,"Argent, an eagle wings expanded sable, armed or"
English,HILTON,"HILTON, Lanc.","Argent, a lion rampant gules, crowned or"
English,HINCHLIFFE,"HINCHLIFFE, Bp. of Peterborough, 1769-94.","Or, a wivern between three fleur-de-lys vert"
English,HINDE,HINDE.,"Gules, a chevron between three hinds tripping or"
English,HINGENSON,"HINGENSON, Bucks.","Gules, a naked arm embowed, issuing from the sinister holding a battle-axe erect proper"
English,HINGHAM,HINGHAM.,"Per pale or and vert, over all a cross fourchy gules"
English,HINGSTON,"HINGSTON, Devon.","Gules, a Danish battle-axe argent, held by an arms in armour proper"
English,HINGSTON,"HINGSTON, Holbeton, Devon.","Gules, an arm in armour proper, holding a Danish battle-axe argent"
English,HINTSON,"HINTSON, Yorkshire.","Azure, an estoile of sixteen points or"
English,HINXLEY,HINXLEY.,"Per fesse argent and vert, four points counterchanged[otherwise 'Per fesse vert and argent; a lozenge in point[or throughout] counterchanged']"
English,HISLOP,"HISLOP, Devon.","Argent, on a mount, a buck couchant under a tree all proper"
English,HOBBS,"HOBBS, Middlesex.","Gules, a chevron engrailed between three roach naiant argent; on a chief of the second three herons sable, billed and membered gules"
English,HOBHOUSE,"HOBHOUSE, co. Somerset.","Azure, three crescents each enclosing a six-pointed mullet[or rather estoile] argent"
English,HOBILLION HOUBLON,"HOBILLION, London. [The same from a base vert; HOUBLON.]","Argent, three hop-poles sustaining their fruit proper[otherwise three hop-bines fructed on their poles proper]"
English,HOBSON MS,"HOBSON, Harl. MS. A.D. 1404.","Azure, on a chevron engrailed three blocks or, each charged with a cross of the second"
English,HOBSON,HOBSON.,"Azure, on a chevron engrailed three blocks[of metal] or, each charged with a cross of the second"
English,HOBY HOBBY,"HOBY, Neath Abbey, co. Glamorgan; HOBBY, co. Berks.","Argent, three fusils upon slippers gules"
English,HOBY,"HOBY, Bisham.","Argent, three fusils[or spindles] in fesse gules threaded or"
English,HOCKIN,"HOCKIN, co. Devon, 1764.","Per fesse wavy gules and azure; [in chief] a lion passant gardant or, beneath the feet a musket lying horizontally proper; [the base] semy of fleurs-de-lis confusedly dispersed of the third"
English,HOCKMORE,"HOCKMORE, Buckyate, co. Devon,","Per chevron sable and or; in base a moorcock of the first combed and wattled gules, in chief two pair of reaping-hooks endorsed and entwined, the blades argent the handles gold"
English,HODDING,HODDING.,"Or, a cock mounted on a trumpet sable"
English,HODGSON,"HODGSON, Framfield, Sussex; granted 1628.","Ermine, on a chief gules three cutlasses erect argent hilts or"
English,HODGSON,"HODGSON, Tooting and Buckland, Surrey.","Azure, three scimetars in pale argent hilts and pomels or, the points to the sinister"
English,HODISWELL,HODISWELL.,"Gules, three square wells argent, water azure"
English,HODSALL,HODSALL.,"Azure, a fesse between three wells argent"
English,HODSOLL,"HODSOLL, London and Kent.","Azure, a fesse wavy between three stone fountains argent"
English,HODSTOKE HADSTOCK,"HODSTOKE, or HADSTOCK, Suffolk.","Or, chevron gules pierced with[or perforated by] a bend ermine[otherwise a bend ermine perforating a chevron gules]"
English,HODY,"HODY, Dorset.","Argent, a fesse per fesse indented throughout vert and sable, cottised counterchanged[otherwise, a fesse indented point in point vert and sable]"
English,HOGELEY,HOGELEY.,"Barry of five gules and or, on a chief as the first two palets between so many based esquires like the second, over all an escucheon or"
English,HOGHE,HOGHE.,"Azure, a lion rampant or, in a true-love knot argent between four fleurs de lys, their stalks bending towards the centre of the second"
English,HOHEBURG,HOHEBURG.,"Per fesse argent and chequy argent and gules, a hill of three mounds azure"
English,HOLBEAME,"HOLBEAME, Lincoln.","Argent, a chevron inarched sable"
English,HOLBECK,"HOLBECK, Bp. of Rochester, 1544; Bp. of Lincoln, 1547-57.","Azure, on a chevron argent between three dove's heads erased of the second, each bearing in its beak a flower, two roses gules, stalked and leaved proper"
English,HOLDSWORTH,"HOLDSWORTH, Warwick.","Argent, the stem of a tree couped and eradicated in bend proper"
English,HOLDSWORTH,HOLDSWORTH.,"Argent, in base a rack couped sable; in chief two crosses crosslet fitchy gules"
English,HOLFORD,HOLFORD.,"Argent, a greyhound passant sable collared gules"
English,HOLGATE,"HOLGATE, Bp. of Llandaff, 1537; Abp. of York, 1545-54.","Or, a bend between two bull's heads couped sable; on a chief argent two bars gules, surmounted by a crutch-staff in bend azure"
English,HOLGRAVE,HOLGRAVE.,"Vert, a lion rampant between three owls argent"
English,HOLKNELL,HOLKNELL.,"Argent, an ass's head erased sable"
English,HOLLAND,"Benedictine Priory at HOLLAND, co. Lancaster.","Azure, flory and a lion rampant or; over all on a bend gules three keys gold"
English,HOLLAND,"HOLLAND, Earl of Kent.","Azure, semy de lis a lion rampant guardant or"
English,HOLLAND,"HOLLAND, London.","Azure, semy of fleur-de-lis a lion rampant guardant argent; on a bend gules an ostrich feather of the second between two bezants"
English,HOLLAND,HOLLAND.,"Azure, seme of trefoils argent, a lion rampant of the last"
English,HOLLAND,HOLLAND.,"Azure, semy-de-lis and a lion rampant argent"
English,HOLLAND,HOLLAND.,"Bendy barry of eight, gules and or"
English,HOLLAND,HOLLAND.,"Gules, two lions passant guardant or, oppressed by a bend azure, within a bordure of the third seme of escallops argent"
English,HOLLES,"HOLLES, co. Lincoln.","Ermine, two piles in point[i.e. meeting in or near the middle base point] sable"
English,HOLLIST,"HOLLIST, Midhurst, Sussex.","Sable, on a bend between in chief a greyhound courant bendwise and in base a dolphin haurient argent, three torteaux; a chief of the second charged with three sprigs of strawberry fructed proper"
English,HOLME,HOLME.,"Argent, a stag statant gules"
English,HOLME,HOLME.,"Or, two bars azure, on a canton argent a chaplet of laurel proper"
English,HOLMSHAW,"HOLMSHAW, Scotland.","Argent, a cross fleuretty sable"
English,HOLSALL,"HOLSALL,","Argent, three dragon's heads erased, fire issuing from their mouths proper"
English,HOLTE,"HOLTE, Warwick.","Azure, two bars, and in chief a cross patonce or"
English,HOLTE,HOLTE.,"Azure, an annulet environing a barrulet, between two bars, and in chief a cross patty fitchy or"
English,HOLTHOUSE,Roger HOLTHOUSE.,"Vairy argent, azure, gules, and or en point"
English,HOME,"HOME, Whitfield, Scotland.","Vert, a lion rampant argent within a bordure or, charged with nine fountains or wells proper"
English,HOMLING,HOMLING.,"Argent, a chevron between three spaniels sejant gules"
English,HONE BODLEY,"HONE, Devon. [Quartered by BODLEY].","Argent, two bars wavy between three hone-stones azure"
English,HONYTON,HONYTON.,Per fesse argent and azure a pale counterchanged three kingfishers of the second
English,HONYWOOD,"HONYWOOD, Kent.","Argent, a chevron quarterly sable and gules"
English,HOOPER,"Ascribed to HOOPER, Bp. of Gloucester, 1550-54; also of Worcester, 1552-53.","Or, on a fesse dancette, between three flames of fire gules, a lamb couchant, between two estoiles argent"
English,HOPKINS,"HOPKINS, 1773.","Sable, on a chevron erminois between three pistols or, as many roses gules barbed and seeded proper"
English,HOPKINS,HOPKINS.,"Sable, on a chevron argent, between three matchlocks[pistols] or, as many roses gules barbed vert seeded or"
English,HOPKINSON,"HOPKINSON, co. York.","Vert, three pillows ermine"
English,HOPTON,"HOPTON, co. York.","Argent, on two bars sable six mullets of as many points or, three and three"
English,HOPTON,HOPTON[a Rebus].,"Or, a lion hopping in a tun gules[otherwise, Gules, a demi-lion erect issuing from a tun argent]"
English,HOPWELL,"HOPWELL, Devon.","Argent, three hares sejant playing upon bagpipes gules"
English,HOPWOOD,"HOPWOOD, Lancaster.","Pale of six argent and vert an escallop for ""difference,"" as the first"
English,HORLEY,HORLEY.,"Argent, a chevron azure between three magpies proper"
English,HORROCKS,"HORROCKS, co. Lancaster.","Or, fretty azure; on a chief of the last a bee volant between two shuttles in pale of the first"
English,HORSHAM,"Town of HORSHAM, Sussex.","Azure, a lion rampant argent resting his dexter hind-foot on the letter H"
English,HORSKE,HORSKE.,"Argent, three dragon's heads erect and erased azure without ears"
English,HORSLEY,"HORSLEY, Bp. of S.David's, 1788; of Rochester, 1792; afterwards of S.Asaph, 1802-6.","Gules, three horse's heads couped argent bridled sable"
English,HORWOOD,HORWOOD.,"Ermine, four bars gemel, compony or and sable"
English,HOSEASON,"HOSEASON, Zetland.","Argent, a Roman fasces and sword saltirewise proper; in chief a pair of blances held by an armed arm azure"
English,HOTHAM,HOTHAM. [In some branches of the family a canton or.],"Barry of six argent and azure, a chief ermine and a canton of the first"
English,HOTOFF,"HOTOFF, Notts.","Sable, three conger's heads erased and erect argent"
English,HOUGHTON,"Adam HOUGHTON, Bp. of S. David's, 1361-89.","Party per pale azure and purpure, three bars counterchanged"
English,HOUGHTON,"HOUGHTON, London.","Argent, three bars sable; in chief two mullets pierced of the last, the horns barry of the first and second"
English,HOUNSLOW,"Priory HOUNSLOW, Middlesex.","Gules, a lion rampant guardant per fesse or and argent"
English,HOUTTEVILLE,"HOUTTEVILLE, Normandie.",Coupe de sable et d'or
English,HOWARD VIII,"Augmentation granted to Katharine HOWARD, fifth wife of Henry VIII.","Azure, two lions passant gardant; the verge of the escutcheon charged with demi-fleurs-de-lis or"
English,HOWARD,"HOWARD, Baron Howard, Earl of Surrey.","Gules, on the upper part of a bend between six crosses crosslet fitchy argent, an escutcheon or charged with a demi lion rampant, pierced through the mouth with an arrow, within a tressure flory counter flory gules"
English,HOWELL NASHE,"Davy HOWELL. [The same charge, azure, in a field or, in the coat of NASHE.]","Argent, a lion guardant with two bodies counter rampant per pale gules and sable"
English,HOWELL,"HOWELL, Bp. of Bristol, 1644-46.","Gules, a falcon rising, wings expanded argent"
English,HOWLEY,"HOWLEY, Bp. of London, 1813; Abp. of Cant. 1828-48.","Azure, an eagle displayed ermine, on his breast a cross patonce of the field"
English,HOYE,HOYE.,"Or, an unicorn rampant sable"
English,HOYLAND,"HOYLAND, Linc.","Barry pily of eight, or and gules"
English,HUCKMORE,"HUCKMORE, co. Devon.","Per chevron sable and or, in base a moorcock of the first, in chief four scythes conjoined two and two argent, the handles of the second"
English,HUDDLESTON,"HUDDLESTON, Upwell Hall, Cambridge.","Ermine, a fret gules in chief a lion passant guardant sable"
English,HUDGSON,"HUDGSON, Boston, co. Lincoln.","Gules, three hangers or falchions barwise in pale the points toward the sinister part of the shield argent, hilts and pomels or"
English,HUDSON BAY,HUDSON BAY Company[Inc. 1670].,"Argent, a cross gules between four beavers passant proper"
English,HUGH DE ABRINCIS LUPUS,"HUGH DE ABRINCIS(or LUPUS), Earl of Chester.","Azure, a wolf's head erased argent"
English,HUGH DE GRANDMESNIL HEN,"Arms ascribed to HUGH DE GRANDMESNIL, Lord High Steward of England, temp. HEN. I.","Gules, a pale or"
English,HUGH LATIMER,"HUGH LATIMER, Bp. of Worcester, 1535-39.","Gules, a cross patonce or, surmounted of a bend azure semy of fleurs-de-lys of the second"
English,HUGHES,"HUGHES, Bp. of S.Asaph, 1573-1600.","Gules, a Saracen's head erased proper hair and beard or, round the temples a fillet nowed argent and azure; on a chief or three roses gules"
English,HULL III,"HULL, Dorset(? temp. Hen. III.).","Or, a bull passant sable collared and belled gold"
English,HULLES,"HULLES, Cheshire and Berkshire. [Another branch of the family from one before named.]","Argent, a pile between two others reversed[or three piles, one issuing from the chief between two others transposed sable"
English,HULME,Benedictine Abbey of HULME.,"Sable, a crozier in pale or with two ribbons[or tassels] entwined about it argent, between four golden cornets[should be coronets]"
English,HULSE,"HULSE, Cheshire.","Argent, two piles sable"
English,HULSON,"HULSON, co. York(granted 1571).","Argent, on a quarter sable, three cronels in bend or"
English,HULTON,HULTON.,"Azure, a lion rampant vairy argent and gules"
English,HUM,HUM.,"Azure, a lion rampant guardant argent the feet gules"
English,HUMBERSTON,HUMBERSTON.,"Argent, three bars sable; in chief as many pellets"
English,HUNDESCOTE,HUNDESCOTE.,"Ermine, a bordure gules"
English,HUNT,"HUNT, Limerick.","Azure, on a bend between two water-bougets or three leopard's faces gules; a chief as the last charged with a castle triple-towered argent, having from the centre tower of a pyramidical shape a banner displayed like the first"
English,HUNT,HUNT.,"Gules, a hind courant argent, between three pheons or, within a bordure of the last pelletty"
English,HUNT,HUNT.,"Quarterly or and sable, a cross lozengy counterchanged"
English,HUNTER,HUNTER.,"Vert, three greyhounds courant argent, on a chief of the last as many bugle-horns sable, stringed gules"
English,HUNTING,HUNTING.,"Argent, eighteen hurts, nine, four, three, and two"
English,HUNTINGFIELD,HUNTINGFIELD. [See also under Pellet.],"Or, on a fesse gules three plates"
English,HUNTLEY JONES,"HUNTLEY; also JONES, 1730.","Ermine, a chevron couped sable"
English,HURD,"HURD, Bp. of Lichfield, 1774; of Worcester, 1781-1808.","Argent, on a chief or, a raven proper"
English,HURLESTONE,HURLESTONE.,"Argent, a chevron between three stone-bows sable"
English,HURST,"HURST, Salop.","Argent, a cross humetty triple parted azure"
English,HURSTON,"HURSTON, Cheshire.","Argent, a cross of four ermine-spots sable"
English,HURTLE MS,HURTLE[Randle Holmes' MS.],"Or, a hurt"
English,HUSKISSON,"HUSKISSON, Sussex.","Gules, a chevron or between three elephant's heads erased proper"
English,HUSSEY,"HUSSEY, Wilts.","Barry of six, ermine and gules"
English,HUSSEY,HUSSEY.,"Or, three boots sable"
English,HUSSEY,HUSSEY.,"Or, three boots[hosen] sable"
English,HUTCHINS,HUTCHINS.,"Ermine, on a pale vert between two daggers, points downwards, azure hilted or, three elephant's probosces of the last"
English,HUTTON,"HUTTON, Bp. of Bangor, 1743; Abp. of York, 1747; Abp. of Cant. 1757-58.","Gules, on a fesse or, between three cushions ermine, tasselled of the second, three fleur-de-lys of the field"
English,HUTTON,HUTTON.,"Ermine, a fesse masculy gules[elsewhere five mascles in fesse gules; and five fusils in fesse gules pierced]"
English,HUTTON,HUTTON.,"Ermine, five fusils in fesse gules pierced"
English,HUTTON,HUTTON.,"Gules, on a canton argent a bird, wings expanded[or overt] and inverted sable"
English,HUYSHE,"HUYSHE, Devonshire.","Argent, on a bend sable three roach of the field"
English,HYGHAM,HYGHAM.,"Azure, a bendlet between two herons[otherwise blazoned cranes] argent"
English,HYHAM,HYHAM.,"Azure, a bend between three lapwings argent"
English,HYTHE,"Seal of the Corporation of HYTHE, Kent.","An antique vessel with one mast; two men in the vessel, one blowing a horn, and two men lying on the yard arm"
English,III,"Roll, temp. Ed. III.","Monsire John FLEMINGE, barre d'argent et d'asur a trois oreillers de gules en la sovereign barre"
English,III,"Roll, temp. Hen. III.",Sire Peres BOSOUN de argent a iij bosons de gules
English,ILSLEY,ILSLEY.,"Argent, three mole-hills proper"
English,INFANT,INFANT.,"Gules, three boy's heads couped argent crined or"
English,INGERSALEM,INGERSALEM.,"Argent, seven barrulets gemel azure[=14 barrulets]"
English,INGHAM ABBEY,"INGHAM ABBEY, Norfolk.","Argent, a cross pattee, per saltire, gules and azure"
English,INGILBY,"INGILBY, Yorkshire. [other branches of the same family bear the estoile with eight and sixteen points.]","Sable, an estoile argent"
English,INGLEDEN,INGLEDEN.,"Argent, a fesse dancetty or between three gouttys of the last"
English,INNER TEMPLE,"Society of the INNER TEMPLE, London. [Assumed temp. Elizabeth.]","Azure, a pegasus salient or"
English,INNHOLDERS,"Company of INNHOLDERS, London[granted 1438, altered 1634].","Azure, a chevron quarterly gules and argent between three garbes or; on a chief argent a S.Julian's Cross sable"
English,INNHOLDERS,"INNHOLDERS' Company, [Inc. 1514].","Azure, a chevron per paly and per chevron gules and argent counterchanged, between three garbs or; on a chief argent two batons crossed at each end sable in saltire, the dexter surmounted by the sinister, commonly called S.Julian's Cross"
English,INRYS,INRYS.,"Argent, a chevron between three measuring-yards gules"
English,INVERERA,"Burgh of INVERERA, Scotland.","The field a sea proper, a net argent suspended from the dexter chief point and the sinister fesse point to the base; in chief two and in base three herrings entangled in the net"
English,INWYNE,"INWYNE, Cumberland.","Argent, three holly-leaves pendent proper"
English,IPRE,IPRE.,"Bendy lozengy barry, sable and or"
English,IPSWICH,"Town of IPSWICH, Suffolk; confirmed 1561[elsewhere Per pale gules and azure a lion rampant or between three sterns of ships argent].","Gules, a lion rampant gardant or impaled with azure, three demi-hulks of ships joined to the impaled line of the last"
English,IREBY,"IREBY, Cumberland.","Argent, fretty gules, a canton gules"
English,IRELAND MS,"IRELAND, Harl. MS. 304.","Gules, three cloyshackes or stringed argent"
English,IRELAND MS,IRELAND; Harl. MS. 4039.,"Sable, a king enthroned proper"
English,IRELAND,IRELAND.,"Azure, a harp or stringed argent"
English,IRELAND,IRELAND.,"Quarterly, I. and IV. counter quartered: 1 and 4 FRANCE; 2 and 3 ENGLAND. II. Or, a lion rampant within a double tressure flory counter flory gules--SCOTLAND. III. Azure, a harp or stringed argent"
English,IRELAND,The[unauthorized] national flag of Ireland.,On a field vert a harp or stringed argent
English,IRONMONGERS,"Company of IRONMONGERS; arms granted, 1455: confirmed, 1530.","Argent, on a chevron gules between three steel gads azure as many swivels, the middle one palewise, the other two in the line of the chevron or"
English,IRONMONGERS,"IRONMONGERS' Company[Incorp. 1463, but arms granted 1435, and confirmed 1530.]","Argent, on a chevron gules three swivels or[the middle one paleways, the other two with the line of the chevron] between three steel gads azure"
English,IRONSIDE,"Gilbert IRONSIDE(Bp. of Bristol, 1689).","Or, a cross crosslet fitchy azure"
English,IRONSIDE,"Gilbert IRONSIDE, Bp. of Bristol, 1661-71.","Per pale azure and gules, over all a cross fleur-de-lis on the sides or"
English,IRVINE,"IRVINE, Scotland.","Argent, a sheaf of arrows gules between three holly-branches[otherwise blazoned branches of holly, or sprigs of holly, and bundles of holly] each of as many leaves proper handed of the second"
English,ISHAM,"ISHAM, Northumberland.","Vert, three wedges[? nails] argent"
English,ISLIP,"John ISLIP, Abbot of Westminster.","Ermine, a fesse engrailed between three rats[? weasels] passant gules"
English,ISLIP,"Simon ISLIP, Abp. of Cant., 1349-66.","Gules, a cross formee or"
English,IVETT,IVETT.,"Argent, a bend sable between three ivy branches proper"
English,JACKSON,JACKSON(Bart. 1660).,"Gules, a fesse between three sheldrakes argent"
English,JACKSON,JACKSON.,"Azure, a fesse erminois between three sheldrakes proper"
English,JACKSON,JACKSON.,"Sable, a pheon inverted argent; a canton or"
English,JACKSON,"William JACKSON, Bp. of Oxford, 1812-15.","Gules, a fesse between three shovellers argent"
English,JAKYS,JAKYS.,"Or, two bars wreathed bendy of eight azure and gules"
English,JAMES,"JAMES, Brecknock.","Gules, from behind bushes vert, a stag courant argent, on a chief azure three castles of the field one and two"
English,JAMES,"JAMES, Surrey.","Quarterly, argent and azure, a cross sarcelly counterchanged"
English,JAMES,"JAMES, co. Essex.","Argent, two bars counter embattled gules"
English,JAMES,JAMES.,"Azure, a lion rampant between in chief two castles triple towered, and in base a scaling-ladder argent, a bordure or charged with four roses gules, and as many spear-heads sable alternately"
English,JAMES,JAMES.,"Sable, a dolphin embowed argent fimbriated or"
English,JAMES,JAMES.,"Sable, a dolphin naiant proper vorant a fish of the last"
English,JAMESON,JAMESON.,"Argent, two arrows in saltire, points upward azure between four 5-foils of the last"
English,JANE,"JANE, Bp. of Norwich, 1499-1501.","Azure, a basket of fruit proper between three mitres or"
English,JANSSEN,"JANSSEN, Wimbledon, Surrey; Baronetcy 1714; quartering second and third, per fesse or and azure a swan naiant proper, and fourth argent, one bundle of reeds vert.","Argent, two bundles of reeds in fesse vert"
English,JASON,Sir Robert JASON(Baronet 1661).,"Azure, a toison or, within a double tressure fleury counterfleury of the last"
English,JAY,"JAY, Devon.","Argent, a chevron azure between three jays proper"
English,JAY,JAY.,"Sable, three Midas's heads erased argent, crowned or"
English,JEDBURGH,"Burgh of JEDBURGH, Scotland.","Gules, on a horse salient argent furnished azure a chevalier armed at all points grasping in the right hand a kind of lance called the Jedburgh staff proper"
English,JENINGS,"Sir Stephen JENINGS, Lord Mayor of London, 1508.","Argent, a chevron gules between three plummets sable"
English,JENKINS,"JENKINS, Cornwall.","Or, a lion rampant reguardant sable"
English,JENKINSON,JENKINSON.,"Or, two bars gemel gules between three tiger's heads[otherwise boar's heads] sable, two and one"
English,JENNINGS,"JENNINGS, Dover.","Azure, a chevron engrailed ermine between three golden fleeces"
English,JENNINGS,"JENNINGS, Oldcastle, co. Chester; and co. Salop.","Argent, a fesse gules between three plummets sable"
English,JERMY,JERMY.,"Argent, a lion salient guardant gules"
English,JERNEGAN,"JERNEGAN, Fitz-Hugh.","Or, three bars azure, over all an eagle displayed gules, beaked and armed or"
English,JERNINGHAM JERNEGAN,"JERNINGHAM or JERNEGAN, Suff.","Argent, three lozenge-[or mascle-, or arming-]buckles gules"
English,JERUSALEM,Arms of JERUSALEM.,"Argent, a cross potent between four plain crosslets or"
English,JERVIS,JERVIS.,"Argent, six ostrich feathers, three, two, and one sable"
English,JERVOISE,JERVOISE.,Sable a chevron between three eagles close argent
English,JESSE,JESSE.,"Argent, three demi dea-dogs passant in pale sable"
English,JESUS,"JESUS College, Cambridge.","Argent, on a fesse between three cock's heads erased sable crested and jellopped gules a mitre or, all within a bordure of the third, charged with eight ducal coronets of the fourth"
English,JEWEL,"JEWEL, Bp. of Salisbury, 1560-71.","Or, on a chevron azure, between three gilly-flowers gules, slipped vert, a maiden's head of the first ducally crowned of the third; on a chief sable a hawk's lure double-stringed or, between two falcons argent, beaked and legged of the last"
English,JOASS,"JOASS, Scotland.","Vert, in chief the holy Bible expanded proper; in base a sand-glass running argent"
English,JOASS,"JOASS, Scotland.","Vert, in chief, the holy Bible expanded proper, in base a sand-glass running argent"
English,JOCE,JOCE.,"Sable, on a fesse argent three whelks lying fessways gules"
English,JOCELYN,"JOCELYN, Essex.","Azure, a circular wreath argent and sable, with four hawk's bells joined thereto in quadrature or"
English,JOCELYN,JOCELYN.,"Azure, a circular wreath plaited argent and sable with four hawk's bills or, appended thereto in quadrature"
English,JODDREL,"JODDREL, Cheshire.","Sable, three round buckles argent, tongues pendent"
English,JODRELL,"JODRELL, Stafford.","Sable, three chaplets argent"
English,JOHAM,"JOHAM, Kent.",Pily wavy of six traits in point or and gules; over all a fesse of the first
English,JOHN COLCHESTER,"Benedictine Abbey of S.JOHN, COLCHESTER.","Gules, a cross within a bordure or, over all an escarbuncle of eight staves sable"
English,JOHN COLLEGE,"S.JOHN'S COLLEGE, Cambridge[Founded 1508].","Quarterly, France and England within a bordure gobony argent and azure"
English,JOHN FISHER,"JOHN FISHER, Bp. of Exeter, 1803; Bp. of Salisbury, 1807-25.","Sable, on a mount vert, two stags salient affrontant argent, attired or"
English,JOHN WHEATHAMSTEAD,"JOHN WHEATHAMSTEAD, Abbot of S.Albans, ob. 1464.","Gules, a chevron between nine ears of wheat tied in three parcels or"
English,JOHN,JOHN duke of Lancaster.,"Sable, three ostrich feathers ermine quills or, transfixed through as many scrolls of the last"
English,JOHN,"JOHN, Bishop of Exeter, 1185-91.","Argent, a cross and a chief sable"
English,JOHNSON,"JOHNSON, Bp. of Gloucester, 1752; afterwards of Worcester, 1759-74.","Argent, a bend sable, on a chief of the second three wool-packs of the first"
English,JOHNSON,"JOHNSON, Milton-Brian, co. Bedford.","Argent, on a pile azure three ounce's heads erased of the first"
English,JOHNSON,"JOHNSON, co. Chester.","Argent, nine pheons meeting in point, six in chief and three in base, sable"
English,JOHNSON,JOHNSON.,"Argent, a chevron azure between three pheons gules; on a chief of the second an open Holy Bible proper edged and sealed or, inscribed, Proverbs, cap. xxii. ver. 6, enclosed by two crosses flory of the last"
English,JOHNSON,JOHNSON.,"Argent, a lion passant gules; on a chief three oak sprigs bearing acorns proper"
English,JOHNSON,JOHNSON.,"Azure, a wool-pack argent"
English,JOHNSON,"Thomas JOHNSON, co. York.","Sable, on a bend between two pair of manacles argent three pheons bendwise in bend gules; a chief or charged with a demi-lion rampant issuant enclosed by a pair of lozenges azure"
English,JOINERS,JOINERS' Company[Inc. 1569].,"Gules, a chevron argent between two pairs of compasses in chief extended at the points and a sphere in base or; on a chief of the last a pale azure between two roses of the first seeded of the third barbed vert; on the pale an escallop of the second"
English,JOLLY,"JOLLY, Scotland.","Argent, an ark in the water proper surmounted by a dome azure standing thereon and holding in the beak an olive-branch vert, all between three gilly-flowers gules stalked and leaved of the fourth"
English,JONES,"JONES, Bp. of S.Asaph, 1692-1703.","Sable, three nag's heads erased argent"
English,JONES,"JONES, co. Brecknock.","Argent, a stag trippant with wings attached to the buttocks and hind legs proper, between the attires a rose or"
English,JONES,"JONES, co. Brecon.","Argent, a stag trippant with wings attached to the buttock and hind legs proper; between the attires an antique crown or"
English,JONES,"JONES, co. Carnarvon.","Sable, on a chevron between three spear heads argent, two staves of Esculapius, chevron wise, each entwined by a serpent proper"
English,JONES,"JONES, co. Kent.","Gules, three lions rampant or; on a chief of the second a fret of the first"
English,JONES,JONES.,"Gules, a stag standing at gaze argent, attired or"
English,JONES,"Tyrwhitt-JONES, co. Salop.","Argent, a lion rampant vert vulned proper at the mouth"
English,JONES,"Tyrwhitt-JONES, co. Salop.","Argent, a lion rampant vert, vulned proper at the mouth"
English,JORDAN,"JORDAN, Surrey.","Sable, an eagle displayed between two bendlets argent; on a chief or three almond leaves vert"
English,JORNEY,JORNEY.,"Argent, three gilly-flowers slipped proper"
English,JOSKYN,JOSKYN.,"Gules, three sheaves of arrows points upwards argent"
English,JOSSELYN,"Sir Ralph JOSSELYN, Alderman of London.","Azure, four hawk's bells or conjoined in saltire by a double and wreathed cord alternately argent and sable"
English,JOURDAN,JOURDAN.,"Gules, three mural coronets argent masoned sable"
English,JULIAN,"JULIAN, co. Lincoln.","Argent, a cross of S.Julian[otherwise cross crosslet in saltire] sable"
English,JUSTICE,"JUSTICE, Scotland.","Azure, a pair of balances supported by a sword in pale argent, hilt of pomel or, within a balance of the last"
English,JUXON,"JUXON, Bp. of London, 1633; Abp. of Cant. 1660-63.","Or, a cross gules between four blackamoor's heads affrontee, couped at the shoulders proper, wreathed about the temples gold"
English,KAGG,KAGG.,"Azure, a pile issuing from the base in bend sinister or"
English,KAILE,"M'KAILE, Aberdeen.","Gules, two dirks in saltire argent, points downwards, hilts and pomels or, in base a lancet open proper"
English,KALEE KRISHNA,"The Rajah KALEE KRISHNA Bahadin, [granted in India, Ap. 3, 1833].","Argent, an elephant statant, and carrying a howdah containing three persons with a driver proper; a bordure or"
English,KATHERINE HALL,"S.KATHERINE'S HALL, Cambridge, [founded 1475].","Gules, a Katherine-wheel or"
English,KATHERINE HOSPITAL,"S.KATHERINE'S HOSPITAL, London.","Per fesse gules and azure; in chief a sword barwise argent, hilt and pomel to the dexter side or; in base a demi-Katherine-wheel of the last divided fessways, the circular part towards the chief"
English,KAY,"KAY, co. Durham; also Scotland.","Argent, a bend sinister sable in chief an annulet gules, in base a griffin's head erased of the second, holding in his break a key azure"
English,KAYE GONVILLE,"Dr.John KAYE[co-founder with GONVILLE of Gonville and Caius College, Cambridge, temp. Queen Mary].","Gold semied with flowers gentil, a sengreen in chief over the heads of two whole serpents in pale, their tails knit together[all in proper colour] resting upon a square marble-stone vert, between these a book sable garnisht gules buckled gold"
English,KAYNTON,KAYNTON.,"Argent, a pale nebuly sable"
English,KEAN,"KEAN, Ireland.","Azure, a fesse or; over all on a pile argent three hearts gules, two and one"
English,KEATE,"KEATE, Herts.","Argent, three mountain-cats passant in pale sable"
English,KEATING KECHING,"KEATING or KECHING, London.","Argent, a saltire gules between four nettle leaves vert"
English,KEATING,"KEATING, Ireland.","Gules, on a saltire argent five nettle leaves vert"
English,KEATING,"Sir Henry KEATING, Justice of the Common Pleas, 1859.","Argent, a saltire between four laurel leaves vert, on a chief embattled azure two French flags in saltire, surmounted by a sword erect all proper; over the sword Bourbon in gold letters"
English,KEATS,"KEATS, Dorrant House, Dover; quartering Goodwin.","Pean, tree mountain-cats passant in pale argent, on a canton or a fesse gules surmounted by an anchor of the third encircled by a wreath of laurel vert"
English,KEDMARSTON,"KEDMARSTON, co. Suffolk.","Argent, three war bells gules"
